Speaker,n_talks,bom_tilt_pp,dc_tilt_pp,pgp_tilt_pp,nt_tilt_pp,ot_tilt_pp,bom_raw_share,dc_raw_share,pgp_raw_share,nt_raw_share,ot_raw_share,bom_va_share,dc_va_share,pgp_va_share,nt_va_share,ot_va_share
Paul H. Dunn,15,2.049473760904774,14.943951887341388,0.0,-3.8137936865735744,-13.1796319616726,0.32432432432432434,0.16216216216216217,0.0,0.32432432432432434,0.1891891891891892,0.3448190619333721,0.31160168103557606,0.0,0.2861863874585886,0.05739286957246319
Quentin L. Cook,39,-11.726451788548292,6.516037963310239,20.360659577381785,-8.648817635751058,-6.501428116392686,0.3394109396914446,0.35624123422159887,0.03506311360448808,0.18934081346423562,0.07994389901823282,0.22214642180596167,0.42140161385470126,0.23866970937830592,0.10285263710672503,0.014929617854305955
Rex D. Pinegar,15,-3.7181115587800964,15.725872684733888,0.0,-9.087262776254162,-2.9204983496996415,0.35294117647058826,0.2549019607843137,0.0,0.35294117647058826,0.0392156862745098,0.3157600608827873,0.4121606876316526,0.0,0.26206854870804663,0.010010702777513392
Richard C. Edgley,14,-11.571530258069613,4.28672547688662,23.985045380472947,-11.231003010406551,-5.469237588883401,0.47674418604651164,0.11627906976744186,0.03488372093023256,0.3023255813953488,0.06976744186046512,0.3610288834658155,0.15914632453630806,0.27473417473496203,0.1900155512912833,0.015075065971631099
Richard G. Scott,59,-20.767818782078105,-2.554227692719513,34.994425530788334,-7.737735384505282,-3.9346436714854263,0.4225941422594142,0.3158995815899582,0.08158995815899582,0.13389121338912133,0.04602510460251046,0.21491595443863315,0.29035730466276305,0.43153421346687915,0.05651385954406851,0.006678667887656195
Robert D. Hales,58,-13.262189898689023,-0.510015261043098,39.26542419550958,-19.05594534876615,-6.437273687011298,0.28804347826086957,0.2056159420289855,0.08514492753623189,0.3451086956521739,0.07608695652173914,0.15542157927397934,0.20051578941855452,0.47779916949132767,0.15454924216451238,0.011714219651626159
Robert L. Simpson,14,-3.3601736664954625,-4.821879938761253,39.94754711437508,-23.839240236389102,-7.926253272729265,0.06422018348623854,0.3486238532110092,0.10091743119266056,0.3944954128440367,0.09174311926605505,0.03061844682128391,0.30040505382339666,0.5003929023364113,0.1561030104801457,0.012480586538762394
Ronald A. Rasband,27,-8.383384098855561,7.496811390904074,21.45753190296992,-12.267750692691534,-8.3032085023269,0.32265446224256294,0.2219679633867277,0.032036613272311214,0.3180778032036613,0.10526315789473684,0.23882062125400733,0.29693607729576843,0.24661193230201042,0.19540029627674596,0.02223107287146784
Russell M. Nelson,114,-12.249660309474855,2.218009379095587,31.522247919828946,-10.851203751407802,-10.639393238041873,0.30246749801008227,0.2942425046431414,0.06075882196869196,0.21438047227381268,0.12815070310427168,0.17997089491533372,0.31642259843409726,0.3759813011669814,0.10586843475973468,0.02175677072385295
S. Dilworth Young,12,-6.275972741865411,1.2825712420196047,47.581154763120466,-14.61610088343797,-27.971652379836687,0.1650485436893204,0.10679611650485436,0.08737864077669903,0.30097087378640774,0.33980582524271846,0.10228881627066629,0.11962182892505041,0.5631901884079037,0.15480986495202806,0.06008930144435161
Spencer W. Kimball,75,-6.123434829402381,-4.358630576189842,49.18677913869437,-20.07516051759859,-18.62955321550355,0.11030741410488246,0.2224231464737794,0.13562386980108498,0.3182640144665461,0.21338155515370705,0.04907306581085865,0.17883684071188097,0.6274916611880287,0.11751240929056023,0.027086022998671556
Sterling W. Sill,11,-3.683540888663444,-0.8947277226668465,44.27083119247326,-23.051880213237727,-16.640682367905242,0.0784313725490196,0.21568627450980393,0.09803921568627451,0.4117647058823529,0.19607843137254902,0.04159596366238517,0.20673899728313547,0.5407475276110071,0.18124590374997565,0.029671607693496617
Theodore M. Burton,14,-6.9708668739771396,3.1085972541677,29.81648600877001,-16.683027756439376,-9.271188632521202,0.17757009345794392,0.3177570093457944,0.056074766355140186,0.3364485981308411,0.11214953271028037,0.10786142471817252,0.34884298188747137,0.3542396264428403,0.16961832056644735,0.01943764638506836
Thomas S. Monson,234,-1.1745906919319746,10.541452375865438,17.78746545127943,-12.769210664070258,-14.385116471142634,0.11493461803165864,0.16930488644184447,0.021335168616655197,0.5010323468685478,0.19339298004129388,0.10318871111233889,0.27471941020049884,0.1992098231294495,0.37334024022784523,0.04954181532986755
Ulisses Soares,21,-12.08092669772497,2.7917920509981653,33.695141503911586,-14.522762659276939,-9.883244197907844,0.3525773195876289,0.14845360824742268,0.0577319587628866,0.31958762886597936,0.12164948453608247,0.2317680526103792,0.17637152875740433,0.39468337380200247,0.17436000227320997,0.022817042557004015
Vaughn J. Featherstone,18,-8.628229862387258,1.6714515480935777,39.61488389139119,-19.780041748783173,-12.878063828314335,0.2289156626506024,0.13253012048192772,0.07228915662650602,0.40963855421686746,0.1566265060240964,0.14263336402672983,0.1492446359628635,0.46843799554041793,0.21183813672903573,0.027845867740953052
Victor L. Brown,28,-5.589520021441728,0.8074090415413682,35.52711432617879,-14.520411752881321,-16.224591593397104,0.12903225806451613,0.33064516129032256,0.07258064516129033,0.27419354838709675,0.1935483870967742,0.07313705785009884,0.33871925170573625,0.4278517884230782,0.12898943085828354,0.03130247116280316
William Grant Bangerter,11,-9.014721018995688,-4.592264152230518,38.385755743324886,-15.201165744651512,-9.577604827447162,0.1746031746031746,0.36507936507936506,0.09523809523809523,0.25396825396825395,0.1111111111111111,0.0844559644132177,0.3191567235570599,0.4790956526713441,0.10195659652173884,0.015335062836639478
